aadhdhayis	aaashsho
tamaaranawu	hiillanchchaa
tamaaranawukka	hiillanchchawnne
tamaaranawunne	hiillanchchay
tamaaranwu	hiillatiiddi
tamaare	hiillatiis
tamaaree	hiillay
tamaareettees	hiilliya
tamaaren	hiilliyo
tamaareso	hiiraa
tamaareson	hiisila
tamaareta	hiisoophphiya
tamaaretakka	hiitta
tamaareti	hiittaa
tamaaretikka	hiittaappe
tamaareto	hiittan
tamaaretu	hiittay
tamaaretussi	hiixa
tamaaribeenna	hiixaa
tamaarida	hiixan
tamaaridanne	hiixissana
tamaaridi	hiixxa
tamaaridinne	hiixxaasu
tamaarido	hiixxiis
tamaaridobatunketen	hiixxiyaro
tamaarissana	hiixxiyo
tamaarissanaakkonne	hiiyyeessa
tamaarissanawu	hijjinchchaa
tamaarissees	hillan
tamaarisseettees	hilloo
tamaarissichchana	hilly
tamaarissiya	hilssi
tamaarissiyaagaa	hilssissa
tamaarissiyo	himbbaa
tamaarissiyoode	himher
tamaarissiyoogaa	hindda
tamaarissiyoonne	hindde
tamaarisso	hinddiriitaa
tamaarissohillaa	hinddiriitaappe
tamaarissuwa	hinddite
tamaarisuwa	hinddiya
tamaariya	hindleg
tamaariyaa	hindlegs
tamaariyappe	hinggettaa
tamaariyo	hinggettan
tamaariyonne	hinggiccaa
tamaariyooba	hini
tamaariyoode	hinifen
tamaariyoogaa	hiniira
tamaariyoogee	hinin
tamaariyoonne	hinkkimankko
tamaariyooy	hinkko
tamaaro	hinkkoode
tamaaroosona	hinkkuwa
tamaarosona	hinna
tamaaroy	hinniira
tamaatissana	hinnin
taman	hinnintta
tamarana	hinnintti
tamari	hinnippe
tamarissiyo	hinno
tami	hinny
tammaappe	hintstsa
tammaare	hintstsaa
tamman	hintstsaahinxxaa
tammanne	hinxxay
tammantto	hiqqaa
tammariyooba	hira
tammariyoode	hiraa
tamme	hiraagaa
tammu	hiraagees
tana	hiraagiis
tanaara	hiraagiyagaa
tanggidi	hiraagiyagee
tangginne	hirainjje
tanggota	hiraqiis
tanggoti	hiraquwa
tanggoy	hirattiis
tanoo	hiraysenna
tanzaanee	hiraysiis
tattaafidi	hirayso
tawu	hirayssonne
tawunne	hirbbakaachchisa
teaching	hirbbooraa
techcha	hircciyan
techchees	hirggaa
techchida	hirggaasu
techchidi	hirggay
techchiya	hirggiis
techniques	hirggissiis
teeleeviizhzhiiniyan	hirggissiya
teera	hirggiya
tekinoolojee	hiriiphidi
tekinooloojee	hiriiphiis
tekinooloojje	hirimaa
tekinooloojjee	hirkka
teleeviizhzhiiniya	hirkki
televiizhzhiiniya	hirxxiya
televiizhzhiiniyan	hirxxiyan
televizhzhiiniya	hisaabe
teqqa	hisaabee
teqqana	hisaabiya
teqqanawu	hisher
teqqanawunne	hitaas
teqqees	hitettaa
teqqennaagaa	hitida
teqqennan	hitiis
teqqettana	hittifiriya
teqqibeennaagee	hiv
teqqidi	hivaids
teqqiyo	hives
term	hixiixiya
tettawu	hiyeesa
text	hiyeesatetta
that	hiyeesatettay
the	hiyeesati
theme	hiyeessa
theory	hiyyeesa
thesis	hiyyeesaa
thinking	hiyyeesaappe
tiara	hiyyeesatettaa
tiga	hiyyeesatettaara
tigirettuwaadan	hiyyeesatettan
tigoos	hiyyeesatettay
tiikeetee	hiyyeesatetti
tiikeetiya	hiyyeesatu
tiikeetiyawu	hiyyeesidosona
tilla	hiyyeesiis
tillissana	hiyyeesissiis
tilxxi	hiyyesatettaappe
tilxxixxissidi	hnattaara
timettan	hoanaw
timiette	hoarded
timirittiyan	hoax
timirtte	hoaxer
timirttee	hobbattiis
timirtteekka	hobbiis
timirtteta	hobbiya
timirttetuura	hodde
timirttiee	hoddeshsho
timirttitya	hodhdhihodhdha
timirttiya	hodhdhihodhdhiis
timirttiyaa	hoed
timirttiyaaninne	hoeing
timirttiyaanne	ho'ettaasu
timirttiyaassikka	ho'ettiis
timirttiyakka	hofoshonoa
timirttiyan	hohaa
timirttiyankka	hoidi
timirttiyappe	hoiis
timirttiyassi	hoiya
timirttiyawu	hok
timmirttiyaa	hokettaa
timmirttiyan	hokkada
timppidi	hokkidi
tippi	hokkiis
tiraapikee	holcca
tiraatire	holey
tirafikee	holgguwa
tiran	holiyday
tiratire	holjjojja
tishsha	holjjojjiis
tishshatettan	hollolaawa
tishshennaagaa	holollaawa
tishshi	holssattiis
tishshissidi	holssayiis
tiwoorii	holssiholssa
tmirttiyaa	holssiholssiis
to	holssiina
tobba	holssoso
tobbana	holssossa
tobbanaadan	hombbee
tobbanawu	hombbees
tobbibbidi	hombbiis
tobbida	hombbiya
tobbidi	hombbocettaa
tobbido	hombbociis
tobbidoba	hombbociya
tobbidobata	homecompound
tobbite	homeland
tobbiya	homosexuality
tobbiyassi	homppa
tobbiyo	homppatiis
tobbiyooba	homppayiis
tobbiyoode	homppiina
tobbiyoogaa	homppu
tobbiyoogan	homu
tobbiyoogee	honchchayiis
tobbiyoonne	honchchu
tobbiyoy	honour
tobboosona	honourable
toga	honoured
toggaadan	honqqooqoy
toggidi	honqqooquwa
tohaa	honrycomb
tohettanaadan	hoo
toho	hoochchiis
tohossa	hoofaa
tohuwan	hoogee
tohuwara	hookko
tokettidi	hookkuwa
tokkidi	hookworm
toli	hoola
tollu	hooligon
tolotattidi	hooliis
toobbidi	hoolliya
toochchana	hoommotiis
toochidi	hoommotiya
tookkanawu	hoommuwa
tookkidi	hooranssiis
toolli	hooranssonne
toomanne	hooranssuwa
toophhpiyan	hooray
toophiya	hooshettaa
toophiyaankka	hooshiis
toophoyaa	hoosilliya
toophphee	hootaa
toophphiya	hooy
toophphiyaa	hophpheeraa
toophphiyaan	hoppihoppa
toophphiyaanikka	hoppihoppiis
toophphiyaappe	hoppihoppiyogee
toophphiyan	hoppiya
toophphiyanne	horddettaa
toophphyan	horddiis
toophpiyaaninne	horddofaa
tooraa	horddofada
tooraadan	horddofawsu
tooray	horddofees
toori	horddofiis
toossi	horddofoosona
top	horoophillee
tophphiya	horoophphillee
topic	horoophphilliya
tossi	horoophphilliyan
tottee	horophphilliya
toukkiyan	horppa
toyssiyo	horppaa
transcribe	horppattiis
transition	horppiina
triglossia	horra
ttennan	horrattees
ttidi	horrattiis
ttii	horrific
ttiyo	horriina
ttiyooba	horro
ttoosona	horsecolor
tucciyo	horserace
tucetti	horse's
tuesday	hoshkkayiis
tufanne	hoshkkiina
tuggatoppa	hoshshatiis
tukettakko	hoshshiina
tukettawu	hoskkattiis
tukettay	hoskkayiis
tukkaano	hoskkayuwa
tukkiya	hoskkettaa
tukkiyaa	hoskkiina
tukkiyadan	hoskkiis
tuma	hospitaaliya
tumaa	hospitaaliyan
tumaanne	hospitablity
tumaappe	hosppitaalee
tumaato	hosppitaaleeasay
tumakka	hosppitaaliya
tumakko	hosppitaaliyan
tumanchcha	hosppitaaliyappe
tumashin	hosppitaaliyaw
tumata	hosppun
tumatettaa	hosppuna
tumatettaanne	hosppuniya
tumati	hosppuniyappenne
tumatun	hosppuntta
tumay	hosppunttaw
tumee	hosppuntto
tumeeyye	hossooqe
tummu	hostel
tumu	hostteeleeaqiyosay
tumukka	hostteeliya
tunttaara	hototu
tuppe	hotspring
turkkanne	hotsprings
turqquuqqissiya	hottasting
tussa	hottayaasu
tussah	hottayiis
tuulama	hottempered
tuulamidi	hottorettiis
tuuqee	hottorssaa
tuussa	housemate
tuussaa	house's
tuussi	houwa
tuuyyana	houwara
u	hubbub
uba	huchchisiis
ubaa	huchchisuwa
ubatika	huchchisuwappe
ubatu	hudugaa
ubaykka	hudugay
ubba	hugged
ubbaa	hukkurumiya
ubbaakka	hulluuqidishukkidi
ubbaappe	hulluuqiis
ubbaassi	hulluuquwa
ubbaay	hulluuzuwa
ubbabaa	hulssussa
ubbabaappe	huluuziyo
ubbabawu	humaa
ubbabay	humatettaa
ubbakka	humatettay
ubban	humbbo
ubbappe	humbbulliya
ubbasankka	humbbuwa
ubbato	humbo
ubbatoo	humiis
ubbatookka	hummingly
ubbatuppe	hummu
ubbawodekka	hummunna
ubbawu	hummunnaa
ubbawukka	humour
ubbay	humppa
ubbaykka	humppaa
ubbi	humus
uddupuntta	humuwa
uduwa	hunchchettaa
ufayssaa	hunchchiis
ufayssaanne	hund
ufayssakko	hungeron
ufayssan	hunxxaa
ufayssidi	huphessa
ufayssiis	huphiyan
ufayssiya	huqqunettida
ufayttana	huqqunnaa
ufayttanawu	huqqunniis
ufayttees	huqqunniya
ufayttidi	hurbbubba
ufayttiiddi	hurbbutaa
ufayttiya	hurbbuti
ulo	hurbbuwa
uloy	hurchchuchcha
uluwan	hurchchuchchu
umaa	hurdles
umatto	hurppa
un	hurppayiis
unbburshiyan	hurqqa
unbbushshiyakka	hurqqaa
unccaa	hurqqattiis
unddugaalo	hurray
undduwaalo	hurriedness
unesccoy	hurter
uneskko	hurtful
un''etti	hurttu
un''ettidi	hururssaa
un''ettishiiddi	huruuriis
un''ettiya	hurxxiis
un'ettoosona	hurxxu
un''ettoosona	husband's
un''in	husband'swife's
un''uwa	hussayiis
up	hussiina
ura	hususattees
uraa	hususattiis
uraabaa	hususiina
uraanne	huttayiis
uraappe	huuphe
uraara	huuphee
uraassikka	huuphesa
uraayyo	huuphessa
urassi	huuphiya
urawu	huuphiyabinnaanaa
urawukka	huuphiyan
uray	huuphiyanne
urbanization	huuphiyappe
uri	huuphiyappenne
urikka	huuphiyara
urinne	huuphiyassinne
urqqaappe	huuphiyaxeeraa
urqqatiyoogan	huuphphessakko
usakka	huuphphiya
ushachcha	huuphphiyan
ushachchaaranne	huupuuphiya
ushachchawu	huusettaa
ushachchay	huusiis
ushachchi	huuxettaa
ushsha	huuxxiis
ushshaa	hydromel
ushshay	hyenas
usshshay	hyena's
ussiyo	hyperbole
ustta	hyphothesis
usuppun	hypocritical
usuppuna	hyssop
usuppunaappe	i
usuppuntto	ibaa
uteele	ibinebaradiya
utetta	ibraawe
utettaa	ibraawiya
utettaadan	iccaasu
utettay	icciis
utissanawu	iccu
uttada	icettaa
uttanaagee	'icha
uttanawu	ichcha
uttayis	ichchaa
uttees	ichchacha
utterances	ichchachiya
uttida	ichchasha
uttidaagaara	ichchashaa
uttidaageeta	ichchashantta
uttidaageetuura	ichchashantto
uttidaashin	ichchashay
uttidaba	ichchashe
uttidabaa	ichchashee
uttidi	ichchashiya
uttido	ichchashshaa
uttidona	ichchashu
uttidoogaa	ichchashutoo
uttidosona	ichchaw
uttiigiis	ichchiis
uttiigiyogee	iddiriya
uttiis	idimaa
uttin	idimmaasu
uttiya	idimmiis
uttiyaga	idimmiyo
uttiyo	idimuwa
uttiyode	idinttiis
uttiyogee	idolater
uttiyoogaa	idolize
uttiyoosan	if
uuketta	ifilaa
uukettaa	ifirkkuwa
uushoy	'ifita'
uwa	ifittaa
uwaa	ifittay
uwan	ignited
uwawu	ignominiousness
uyidoba	iigaa
uyidobaa	iigettaa
uyiyoo	iiggidosona
uyiyooban	iiggiis
uyiyoogaa	iili'iiliis
uyiyoosan	iiliina
view	iira
vii	iirichchuwa
viiduwa	iiro
vitaamine	iisettaa
vitaaminiya	iisettaasu
vitality	iisettiis
vote	iishees
vs	iishiis
waachchama	iishiya
waadda	iisiino
waageeshsho	iissiis
waakkiyan	iita
waalooliya	iitaa
waana	iitaappe
waanana	iitabaa
waanay	iitatettaa
waanees	iitees
waani	iitenna
waanida	iitidi
waanidaakko	iitiis
waanidi	iitin
waanii	iitiya
waaniyaana	iitoososna
waaniyakko	iittaa
waaniyana	ijjinchchaa
waaniyo	ikisaama
waanna	ikisee
waannabay	ikisiya
waannatettan	ikisiyappe
waano	ikka
waanoo	ikkonoomee
waanutee	ikkonoomiya
waaru	ikkoonoomee
waaruwa	ikkoonoomiya
waasoy	ilaa
waassiyaara	ililaasu
waassiyo	ilili
waasuwa	ililiis
waata	ililili
waatada	ililisaa
waatanee	ililuwa
waati	ilkkaa
waatidi	i'll
waatidinnee	illcooked
waatta	illegible
waattaa	illfitting
waattan	illihiya
waattati	illiitaa
waattay	illmannered
waaxada	illnews
waaxanaadan	illproportioned
waaxanawu	illtempered
waaxetiba	illwill
waaxetidaba	illwisher
waaxetidinne	ilppinniya
waaxettidaba	iluwa
waaxettidabeeyye	i'm
waaxettidee	imataa
waaxettidi	imatta
waaxettido	imattaa
waaxettidoogaanne	imattaassi
waaxettiyageeta	imattata
waaxi	imattatawsu
waaxidi	imattatettaa
waaxiin	imattati
waaxin	imattatoppa
waaxiya	imattattiis
waaxiyo	imattatussi
waaxiyoo	imattatuura
waaxo	imattaw
waaxuwan	imattay
waayettennan	imattayiis
waayissay	imatti
waayissin	imattiis
waayissiyaba	imatuwa
waayissiyo	imbbaamoy
waayssanaagee	imbbaamuwa
waayyi	imbbaasiya
waci	imbbilitaa
waciya	imettanaw
wadhdhiis	imettees
wagga	imettibeenna
walahaa	imettida
walahaanne	imettidoogaa
walahan	imettiis
walahawu	imettikko
walahay	imettin
walaheettidi	imettiyo
walahettana	imma
walahettida	immaas
walahettidaba	immaasi
walahettidi	immaasu
walahi	immabeykke
walahinne	immabeykku
walakettidi	immada
walakkada	immana
walakkana	immanaadan
walakkennaakko	immanaappe
walakkennan	immanaw
walakkiddi	immarkkii
walakkidi	immays
walakkinnee	immees
walakkiyooga	immeet
walakkiyoogaa	immence
walakkiyoogaanne	immenna
walakkiyooge	immennan
walakkiyoogee	immettees
walakkkidi	immettidee
walakkoppa	immi
walayta	immibookkona
walayttatto	immida
walhettishin	immidi
walkkiyoogaa	immido
wanccaa	immidobaa
wanna	immidoogaw
wannabay	immidosona
wareta	immiis
warkkettidi	immikke
was	immikko
wati	immiyagaa
wattaa	immiyageeti
watuwa	immiyo
wayissees	immiyobata
wayssana	immiyogaa
wayssiyaa	immiyogee
webb	immo
weebistteranne	immobilize
were	immobilized
which	immoosona
while	immorality
with	immuutee
wiygiyoogaakko	immuwa
wll	imotaa
wo	impetigo
wocamees	impovement
wochchiiddi	impregnated
wochchiyoogaa	imuwa
woday	in
wodday	inaayyo
woddiyan	inborn
wode	incanum
wodebaa	incapability
wodee	inchche
wodeekka	inchchiraa
wodeeninne	inchchirichchaa
wodeesappe	inchchirichchay
wodeeyye	inchchiya
wodekka	incineration
woden	incise
wodenne	incised
wodeppe	incision
wodeta	incisor
wodhdha	inconstancy
wodhdhanaadan	inconstant
wodhdhida	increasegreatly
wodhdhiis	incriminated
wodhdhinne	incurabe
wodhdhiya	inddaa
wodhdhiyaba	inddashiya
wodhdhiyoorin	indde
wodinn	inddetaasu
wodiya	inddi
wodiyaa	inddigisaa
wodiyaabaa	inddiyo
wodiyaakkaa	inddusttiree
wodiyaan	inddustturiya
wodiyaappe	indecency
wodiyaassa	indecisciveness
wodiyakka	independant
wodiyan	independency
wodiyaninne	indicum
wodiyanne	indistinctly
wodiyappe	indulger
wodiyara	inedible
wodiyaranne	ineffectuality
wodiyawu	inf
wodiyo	infiltrating
woga	infiltrator
wogaa	inflamation
wogaabaa	infltrated
wogaagara	infretile
wogaana	inggaazettaa
wogaanne	inggaaziis
wogaara	inggaazuwa
wogaasatussa	inggilize
wogagodatto	inggilizee
wogan	inggilizettuwa
woganne	inggilizettuwan
wogata	inggilizettuwappe
wogatanne	inggilizettuwayyoo
wogati	inggilizetuwa
wogatuura	inggiliziya
wogawu	inggillizettuwa
wogay	ingglisiya
wogaykka	ingglize
wogaynne	ingglizetto
wogeta	ingglizettuwa
wogeti	ingglizettuwan
wogga	inggliziya
woggaa	inhalation
woggaakko	inherted
woggaappe	inhumanity
woggaatees	ini
wogi	iniquitous
wokko	injera
wolaa	'injera'
wolahaa	injje
wolaita	injjetees
wolattatto	injjetennaagaa
wolattattuwan	injjetibeenna
wolayittatto	injjetiis
wolayta	injjetiya
wolaytta	injjettees
wolayttaawu	injjetukku
wolayttan	injjeyiis
wolayttato	injjiya
wolayttatto	inkkiriitiya
wolayttattoy	innaaboote
wolayttattoykka	inne
wolayttattoynne	inottiis
wolayttattuwa	inqquwa
wolayttattuwaa	insect's
wolayttattuwaan	inspite
wolayttattuwaanne	instiable
wolayttattuwaara	instigater
wolayttattuwan	instigation
wolayttay	inteegaa
wolaytto	intenet
wolayttummatettawu	intercalary
woliila	intercede
woliilaa	interceder
wolqaama	intercedes
wolqqaa	intercession
wolqqaama	interjection
wolqqaamaba	interlacement
wolqqaappe	interlock
wolqqaara	interlocked
wolqqan	interviwer
wolqqanttaa	interweave
wolqqanttiyo	interwine
wolqqantto	interwined
wolqqanttuwa	intial
wolqqattiyo	intially
wolqqay	intimidiation
wombbaray	intoxcicate
wonggeeliya	intoxcicated
woni	introducer
woninne	intte
wontta	inttebaa
wonttan	intteegaa
wonttettappe	intteegee
wonttossi	intteero
woode	inttena
woodi	inttenaara
woomma	inttenoo
woommanawu	intteppe
woommarkkinaa	intterineetiya
woommidi	intterkka
woommiyo	intterneetee
wooqqaasa	intteso
wooqqikko	inttesoo
woosa	inttessi
woossiiddi	intteyiyo
woossiyaageeti	intteyyoo
woossiyo	inttiyo
wootta	inxxarssaa
woppay	inxxarssan
woppissanawu	ippe
woppissiyaa	ippenne
woppu	iqaa
woqqaa	iqawsu
woqqee	iqees
woraajjettidi	iqettaa
woraajjettiyo	iqiis
woraajjida	iraa
woraajjiidi	iraadooniya
woradda	iraadooniyan
woraddatuuninne	iraaduwa
worana	iraappe
woraqaataakka	iraara
woraqata	iraashaa
woraqataa	iray
woraqataanne	irbbuwa
woraqataappe	irddiya
woraqatan	iriipporttiya
woraqatata	iritating
woraqatawu	iritation
woraqati	irkkaabootiya
word	irkkaniya
worddo	irkkees
worddoo	irkkiis
wordokko	irkkissiis
words	irkko
worfa	irkkotiis
woridi	irkkoyiis
woriyaa	irmataa
woriyaaba	irppaniya
woriyay	irppaniyan
woriyo	irppinniya
worqatan	irpporttiya
wotta	irreligious
wottaasa	irresolute
wottada	irshshotiis
wottakko	irshshuwa
wottana	irssaase
wottanaadan	irssaasee
wottanawu	irssaasiya
wottees	irxxa
wotti	irxxaa
wottida	irxxatettaa
wottidaashin	irxxees
wottidi	irxxenna
wottido	irxxiis
wottidobata	irxxissaa
wottidoogaa	irxxissees
wottidosona	irxxissiis
wottiiganawu	irzziiziis
wottiis	irzziizoy
wottinne	irzziizuwa
wottite	irzzo
wottiya	irzzuwa
wottiyo	irzzuwan
wottiyoge	irzzuwaw
wottiyoo	is
wottiyooga	isaasi
wottiyoogee	isayas
wottiyoy	ishaa
wottoppite	ishaatoo
wotykko	ishalettaasu
woxerettanawu	ishaliis
woximaxiyan	ishalissiis
woxire	ishalo
woxirettoona	ishalobata
woxxekketii	ishaluwa
woxxi	ishantta
woxxikko	ishantti
woxxiyo	ishanttussi
woxxppa	ishatama
woy	ishatamantta
woygana	ishatamu
woyganaassakkonne	ishatettaa
woygidonaa	ishatettan
woygii	ishatu
woygiishsha	ishay
woygiyogaakkonne	ishettaa
woygiyoogaakko	ishi
woygiyooge	ishiki
woygiyoogee	ishsha
woygiyoogw	ishshi
woygiyoonaa	ishshoyettaa
woygooshsha	ishshoyiis
woygoyoogee	ishshoyiyo
woyiganaakko	isiini
woyigi	isiinintta
woyigiyogee	isiiniya
woyikko	isiiniyan
woykke	isiino
woykko	isilaama
woykkonne	isilaamati
woyko	isin
woytuuwa	isisayada
wozana	isisayiis
wozanaa	isiwiichchiya
wozanan	islaamata
wozanappe	isn't
wozanay	isolent
wozannaamidi	isosceles
wozannaamiyay	isoy
wozantteettee	isppene
woziyo	isppeyne
wozxannaamatettaa	ispponjjee
writing	ispponjjiya
wuda	ispportte
wudaa	ispporttiya
wudanne	ispporttiyaw
wudees	israa'eele
wudi	issi
wudidi	issibaa
wudokko	issibata
wunddaawulluwa	issibati
wurana	issibay
wurees	issidiri
wurenna	issifetetta
wurettan	issifetettaa
wuriis	issifetettay
wursetta	issiinitta
wurssada	issinaa
wurssana	issinna
wurssanaadan	issinniyakka
wurssanawunne	issinniyo
wurssees	issinno
wurssenna	issippe
wurssetta	issippetetaa
wurssettaa	issippetettaa
wurssettaappe	issippetettay
wurssettan	issisaa
wurssi	issisaappe
wurssidi	issisan
wurssido	issitoo
wurssiyooba	issitookka
wurssoosona	issoota
wurssyoba	issoy
wuygen	issoykka
wuyigen	issoykkakka
wuyigiyan	issoynne
wwanna	issppe
wwaxin	isstta
x	issuwa
xaaafiya	issuwaara
xaadeera	issuwakko
xaafa	issuwan
xaafada	issuwappe
xaafana	issuwara
xaafanaadan	issuwassi
xaafanaappe	issuwaw
xaafanachchaa	istta
xaafanawu	isttaadoomiya
xaafanchcha	isttarchchiya
xaafanchchaa	istteeshineeriya
xaafanchchati	istteeteskkoppiya
xaafanchchatu	isttooree
xaafanchchay	isttooriya
xaafanchchaykka	isttooriyappe
xaafasimmada	isuwa
xaafaydda	it
xaafe	itchy
xaafee	itimaa
xaafeekka	itirwanjjiya
xaafeenne	itiya
xaafees	itiyo
xaafeettees	itooniya
xaafeta	it's
xaafeti	i've
xaafetidi	ixaanaa
xaafetikka	ixaanay
xaafettana	ixeta
xaafettanawu	ixetaa
xaafettees	ixetay
xaafettenna	ixetta
xaafettibeenna	ixettidabaa
xaafettibeennaageeta	ixettiis
xaafettid	ixettiya
xaafettida	ixo
xaafettidabaa	ixoy
xaafettidabay	ixuwa
xaafettidanne	ixuwan
xaafettiday	ixxaas
xaafettidi	ixxaasu
xaafettido	ixxada
xaafettidooga	ixxadii
xaafettiis	ixxay
xaafettiya	ixxays
xaafettiyaa	ixxees
xaafettiyo	ixxidaagaa
xaafettiyooga	ixxidi
xaafettiyoy	ixxidoogaappe
xaafi	ixxidosona
xaafida	ixxiis
xaafidaagee	ixxikko
xaafidana	ixxin
xaafidi	ixxis
xaafido	ixxisi
xaafidoba	ixxiya
xaafidobaa	ixxiyo
xaafidoban	ixxoosona
xaafidobay	iyiyo
xaafidoogaa	iyiyoo
xaafii	iyyoo
xaafiiddi	izaawa
xaafiigees	izaaway
xaafiis	izaawu
xaafiiyoga	izaaya
xaafikko	izhzho
xaafishin	j
xaafissana	jaakirettaa
xaafite	jaakirettiis
xaafiya	jaakkeetaa
xaafiyaara	jaakkeetee
xaafiyaga	jaakkeetiya
xaafiyagaanne	jaalaa
xaafiyagawu	jaaliyo
xaafiyageetu	jaamaa
xaafiyara	jaamees
xaafiyo	jaamettaa
xaafiyoba	jaamiis
xaafiyobaa	jaanuwa
xaafiyobay	jaapaaniya
xaafiyoga	jaappaane
xaafiyogeekka	jaappaanettuwa
xaafiyoobaassi	jabalattees
xaafiyoobay	jabalattiis
xaafiyooga	jabalattiya
xaafiyoogaa	jabaliina
xaafiyoogee	jabanaa
xaafiyoy	jabanaanne
xaafo	jabanaappe
xaafoosona	jabanan
xaafoppa	jabanay
xaafoppe	jabbattiis
xaafoy	jabber
xaafoykka	jabbered
xaafoynne	jabberer
xaafuwa	jabbering
xaafuwaa	jabbi
xaafuwaabaa	jabbiina
xaafuwaba	jabbijabba
xaafuwan	jabbijabbaa
xaafuwanne	jabbijabbiis
xaafuwappe	jabbijooriya
xaafuwassi	jabbijooriyan
xaafuwaw	jabbijooryan
xaafuwawu	jabbiya
xaafuwawunne	jabbukettiis
xaalaala	jabijaba
xaalaalay	jabijabiis
xaallana	jackal
xaallay	jagged
xaalli	jaggottiis
xaalloote	jalissiis
xaaxa	jaliya
xaaxi	jalla
xaaxiya	jallettiis
xaayiiddi	jallidosona
xaayssanawu	jalliis
xade	jamaa
xadee	jamaassi
xadeera	jamay
xafuwaappe	jangling
xalaala	jannanna
xalaalaa	jannanniis
xalaalaassa	jaramane
xalaalan	jaramanettuwa
xalaalay	jaramaniya
xalaalaykka	jarddiya
xalahee	jarijara
xalalaa	jarijariis
xalalidi	jarkkaaniya
xalatettaa	jarkkaaniyappe
xalatettan	jasper
xaliya	jawla
xalla	jawliis
xallaa	jawssaa
xallaana	jeere
xallaassa	jeeretiis
xallakka	jeessuwa
xallan	jellylike
xallawu	jennet
xallay	jermane
xamppettaa	jermmetu
xanddaqi	jermmiya
xanna'idi	jesus'
xaphana	jettiya
xapho	jeweller
xaphokka	jewellers
xaphotettaa	jibbaa
xaphotettaynne	jibbiina
xaphoy	jibbijibba
xaphuwa	jibbijibbiis
xaphuwan	jibilattiis
xarxxetta	jibiliina
xaya	jiilaawa
xayada	jiilaawattiis
xayana	jiilaawiis
xayibookkona	jiirijiira
xayidi	jiirijiiriis
xayiigees	jilimaa
xayiis	jimaa
xayikko	jimilaa
xayikkonne	jiminasttikiya
xayin	jinjjilla
xayissidana	jinjjillatettaa
xayiyabaa	jinjjillattiis
xayiyo	jinssee
xaykko	jinssiya
xaykkokka	jinx
xaykkonne	jobbattiis
xayssanaawu	jobbiina
xayssanawu	jobless
xayssees	joist
xayssiis	jollu
xeebisa	joograafee
xeegeettees	joograafiya
xeegida	jooja
xeekka	joora
xeekkaa	joss
xeekkaakko	joyfulness
xeekkamiya	joyless
xeekkan	joyne
xeekkay	joyniya
xeela	joyniyan
xeelaa	jubilate
xeelaanne	jubilation
xeelaappe	judeochristian
xeelaara	judgement
xeelaatun	juniperus
xeelan	juujettaa
xeelanne	juujiis
xeelappe	juusiya
xeelata	juyla
xeelatanne	juylattees
xeelati	juyliis
xeelay	k
xeelaynne	ka'a
xeelettana	ka'aa
xeelettees	kaa'aas
xeelettenna	kaaanaw
xeelettidi	kaa'anaw
xeelettiyo	kaabbaa
xeeliyaagan	kaabbay
xeeliyo	kaabbuwa
xeella	kaabineti
xeellaasu	kaabiniya
xeellada	kaacaa
xeellan	kaacaassi
xeellana	kaachchafatiis
xeellanaagee	kaachchafatuwa
xeellanagaanne	kaachchifatiis
xeellanawu	kaaciis
xeellanawunne	kaadettaa
xeellay	kaadiis
xeellees	kaadumataa
xeelleetii	kaaees
xeelleettees	kaa'eesnaacees
xeellenna	kaa'eettees
xeellennaagee	kaa'ettaydda
xeelli	kaa'ettiis
xeellida	kaa'ettiyo
xeellidaagee	kaafana
xeellidi	kaafe
xeellido	kaafee
xeellidobawu	kaafettiis
xeelliiddi	kaaffees
xeellikko	kaafidi
xeellin	kaafidosona
xeellinkka	kaafiiriya
xeellinne	kaafiis
xeellite	kaafikaafa
xeelliya	kaafikaafiis
xeelliyaaga	kaafikaafuwa
xeelliyaagaa	kaafiya
xeelliyaagaankka	kaafiyagaa
xeelliyaagan	kaaide
xeelliyagaa	kaa'ido
xeelliyagan	kaa'idosona
xeelliyagankka	kaa'iiddi
xeelliyo	kaaiidi
xeelliyobati	kaaiis
xeelliyobatinne	kaa'iis
xeelliyogee	kaaishin
xeelliyoo	kaa'ishin
xeelliyoobaappe	kaaiyagaa
xeelliyoode	kaa'iyagaa
xeelliyoodekka	kaaiyageeti
xeelliyooga	kaa'iyageeti
xeelliyoogaa	kaa'iyoogaa
xeelliyoogaadan	kaakkaasu
xeelliyoogan	kaakkaawsu
xeelliyooge	kaakkettaa
xeelliyoogee	kaakkiya
xeelliyoy	kaaletosona
xeelloos	kaalettanaassi
xeelloosona	kaalettanaw
xeelloy	kaalettees
xeeluwa	kaalettiis
xeeluwan	kaalettiya
xeeppula	kaalettiyagaa
xeera	kaalettiyagee
xeeraa	kaalettiyageeti
xeeran	kaalettiyageetu
xeerey	kaalettiyo
xeesa	kaalettoosona
xeeseettees	kaaletuwa
xeesekketii	kaaletuwaw
xeesetta	kaalimiya
xeesettana	kaaliyo
xeesettanawu	kaallaas
xeesettees	kaallaasu
xeesettenna	kaallaawsu
xeesettiya	kaallada
xeesettiyo	kaalladii
xeesettosona	kaallanaw
xeesidaaga	kaallawsu
xeesiday	kaallees
xeesido	kaalli
xeesidobaa	kaallida
xeesiiddi	kaallidi
xeesikko	kaalliis
xeesikkonne	kaallishin
xeesiyaakko	kaalliya
xeesiyo	kaalliyagaa
